degree distribution (degree-occurrences)
7.44637	0.1445
9.45205	0.073
11.5321	0.0545
13.7578	0.0426667
16.9103	0.026
20.32	0.01875
24.4483	0.0116
30.54	0.00833333
37.1951	0.005125
46.7308	0.00288889

--------------------------------------
community distribution (size-occurrences)
20  1
21  7
23  1
24  1
25  1
26  1
30  2
33  2
34  3
37  2
40  1
42  2
43  1
44  1
46  1
48  1
50  1
78  1

--------------------------------------
mixing parameter
0.0797536	0.003
0.136325	0.216
0.194745	0.455
0.23839	0.258
0.286281	0.064
0.369318	0.002
